  1        0.00        0.23       -1.79        1.03        1.05        0.21       -0.46        0.78        0.60       -0.12        1.52
  2      101.01        0.29       -1.87        1.07        0.70        0.32       -0.16        0.76        0.43       -0.37        1.54
  3      202.02        0.31       -1.89        1.10        0.41        0.44        0.15        0.69        0.24       -0.65        1.50
  4      303.03        0.28       -1.84        1.09        0.18        0.58        0.45        0.57        0.02       -0.93        1.40
  5      404.04        0.19       -1.73        1.04        0.03        0.74        0.71        0.40       -0.20       -1.20        1.24
  6      505.05        0.07       -1.56        0.94       -0.04        0.94        0.91        0.20       -0.42       -1.43        1.05
  7      606.06       -0.08       -1.33        0.78       -0.03        1.16        1.04       -0.02       -0.61       -1.60        0.83
  8      707.07       -0.24       -1.05        0.57        0.04        1.41        1.11       -0.26       -0.77       -1.71        0.60
  9      808.08       -0.40       -0.74        0.33        0.16        1.65        1.12       -0.49       -0.90       -1.73        0.37
 10      909.09       -0.54       -0.42        0.06        0.31        1.88        1.08       -0.70       -0.98       -1.66        0.17
 11     1010.10       -0.64       -0.13       -0.20        0.47        2.06        1.02       -0.88       -1.01       -1.50       -0.01
 12     1111.11       -0.70        0.13       -0.42        0.62        2.16        0.95       -1.00       -0.98       -1.27       -0.15
 13     1212.12       -0.70        0.33       -0.58        0.73        2.17        0.89       -1.08       -0.89       -0.98       -0.24
 14     1313.13       -0.64        0.46       -0.66        0.81        2.10        0.85       -1.13       -0.74       -0.66       -0.30
 15     1414.14       -0.51        0.53       -0.69        0.83        1.96        0.82       -1.14       -0.56       -0.34       -0.32
 16     1515.15       -0.33        0.53       -0.66        0.80        1.75        0.82       -1.15       -0.35       -0.03       -0.30
 17     1616.16       -0.09        0.48       -0.60        0.73        1.52        0.82       -1.15       -0.14        0.24       -0.27
 18     1717.17        0.19        0.39       -0.52        0.61        1.27        0.84       -1.16        0.06        0.47       -0.21
 19     1818.18        0.50        0.25       -0.45        0.46        1.04        0.86       -1.17        0.23        0.63       -0.14
 20     1919.19        0.83        0.10       -0.39        0.29        0.84        0.89       -1.20        0.36        0.73       -0.06
 21     2020.20        1.15       -0.08       -0.36        0.11        0.69        0.94       -1.22        0.44        0.77        0.02
 22     2121.21        1.45       -0.26       -0.37       -0.06        0.58        1.01       -1.26        0.47        0.73        0.10
 23     2222.22        1.70       -0.42       -0.41       -0.19        0.52        1.08       -1.29        0.47        0.64        0.17
 24     2323.23        1.89       -0.56       -0.48       -0.30        0.50        1.16       -1.33        0.44        0.50        0.23
 25     2424.24        2.03       -0.66       -0.59       -0.37        0.50        1.24       -1.36        0.42        0.34        0.29
 26     2525.25        2.11       -0.71       -0.73       -0.40        0.51        1.29       -1.40        0.40        0.15        0.34
 27     2626.26        2.12       -0.72       -0.90       -0.41        0.51        1.30       -1.44        0.41       -0.04        0.38
 28     2727.27        2.09       -0.69       -1.09       -0.38        0.51        1.27       -1.47        0.43       -0.21        0.41
 29     2828.28        2.00       -0.62       -1.29       -0.34        0.48        1.17       -1.48        0.47       -0.37        0.43
 30     2929.29        1.86       -0.53       -1.51       -0.28        0.44        1.03       -1.47        0.52       -0.48        0.44
 31     3030.30        1.68       -0.42       -1.73       -0.22        0.38        0.84       -1.40        0.56       -0.56        0.44
 32     3131.31        1.45       -0.31       -1.95       -0.15        0.31        0.63       -1.28        0.60       -0.58        0.43
 33     3232.32        1.19       -0.19       -2.15       -0.08        0.22        0.41       -1.10        0.63       -0.57        0.40
 34     3333.33        0.92       -0.07       -2.31       -0.02        0.12        0.21       -0.87        0.64       -0.52        0.37
 35     3434.34        0.66        0.05       -2.44        0.04        0.01        0.05       -0.60        0.63       -0.45        0.33
 36     3535.35        0.41        0.17       -2.52        0.10       -0.13       -0.06       -0.30        0.61       -0.38        0.29
 37     3636.36        0.18        0.31       -2.55        0.16       -0.29       -0.12       -0.01        0.58       -0.32        0.24
 38     3737.37       -0.02        0.46       -2.53        0.21       -0.48       -0.12        0.26        0.54       -0.27        0.19
 39     3838.38       -0.20        0.61       -2.47        0.27       -0.70       -0.07        0.49        0.51       -0.25        0.13
 40     3939.39       -0.38        0.78       -2.35        0.34       -0.94        0.02        0.66        0.47       -0.24        0.08
 41     4040.40       -0.57        0.94       -2.18        0.42       -1.21        0.15        0.76        0.44       -0.25        0.03
 42     4141.41       -0.77        1.08       -1.96        0.50       -1.47        0.31        0.77        0.40       -0.25       -0.00
 43     4242.42       -1.00        1.18       -1.68        0.59       -1.71        0.49        0.70        0.36       -0.25       -0.00
 44     4343.43       -1.25        1.23       -1.36        0.68       -1.90        0.66        0.56        0.30       -0.22        0.04
 45     4444.44       -1.50        1.22       -1.03        0.77       -2.04        0.82        0.39        0.22       -0.19        0.13
 46     4545.45       -1.75        1.16       -0.70        0.85       -2.11        0.96        0.20        0.12       -0.14        0.28
